ID,NodeType,weight,x,y,degree,degree.in,degree.out,degreeCentrality,OutDegreeCentrality,label
0,0,1,0,0,347,347,,0.00196636217331188,,0
1,0,1,0,0,17,16,1,9.63347462429449E-05,1.13334995579935E-05,1
10,0,1,0,0,10,9,1,5.66674977899676E-05,1.13334995579935E-05,10
100,0,1,0,0,9,7,2,5.10007480109708E-05,2.2666999115987E-05,100
1000,7,1,0,0,16,12,4,9.06679964639481E-05,4.53339982319741E-05,1000
1001,1,1,0,0,39,30,9,0.000221003241380874,0.000102001496021942,1001
1002,3,1,0,0,4,3,1,2.2666999115987E-05,1.13334995579935E-05,1002
1003,3,1,0,0,95,90,5,0.000538341229004692,5.66674977899676E-05,1003
1004,3,1,0,0,120,114,6,0.000680009973479611,6.80009973479611E-05,1004
1005,7,1,0,0,14,12,2,7.93344969059546E-05,2.2666999115987E-05,1005
1006,3,1,0,0,142,130,12,0.00080467846861754,0.000136001994695922,1006
1007,7,1,0,0,16,12,4,9.06679964639481E-05,4.53339982319741E-05,1007
1008,3,1,0,0,8,7,1,4.53339982319741E-05,1.13334995579935E-05,1008
1009,7,1,0,0,57,53,4,0.000323004737402815,4.53339982319741E-05,1009
101,0,1,0,0,19,13,6,0.000107668245800938,6.80009973479611E-05,101
1010,7,1,0,0,36,31,5,0.000204002992043883,5.66674977899676E-05,1010
1011,7,1,0,0,32,28,4,0.000181335992927896,4.53339982319741E-05,1011
1012,1,1,0,0,32,22,10,0.000181335992927896,0.000113334995579935,1012
1013,1,1,0,0,12,8,4,6.80009973479611E-05,4.53339982319741E-05,1013
1014,7,1,0,0,99,85,14,0.000561008228120679,0.000158668993811909,1014
1015,7,1,0,0,36,32,4,0.000204002992043883,4.53339982319741E-05,1015
1016,2,1,0,0,9,6,3,5.10007480109708E-05,3.40004986739806E-05,1016
1017,3,1,0,0,149,136,13,0.000844345717070517,0.000147335494253916,1017
1018,7,1,0,0,51,43,8,0.000289004238728835,9.06679964639481E-05,1018
1019,7,1,0,0,58,52,6,0.000328671487181812,6.80009973479611E-05,1019
102,0,1,0,0,6,4,2,3.40004986739806E-05,2.2666999115987E-05,102
1020,7,1,0,0,58,47,11,0.000328671487181812,0.000124668495137929,1020
1021,7,1,0,0,61,54,7,0.000345671736518802,7.93344969059546E-05,1021
1022,7,1,0,0,4,2,2,2.2666999115987E-05,2.2666999115987E-05,1022
1023,3,1,0,0,9,7,2,5.10007480109708E-05,2.2666999115987E-05,1023
1024,3,1,0,0,85,78,7,0.000481673731214724,7.93344969059546E-05,1024
1025,1,1,0,0,29,21,8,0.000164335743590906,9.06679964639481E-05,1025
1026,3,1,0,0,80,69,11,0.000453339982319741,0.000124668495137929,1026
1027,3,1,0,0,3,2,1,1.70002493369903E-05,1.13334995579935E-05,1027
1028,3,1,0,0,67,58,9,0.000379672235192783,0.000102001496021942,1028
1029,3,1,0,0,79,69,10,0.000447673232540744,0.000113334995579935,1029
103,0,1,0,0,16,11,5,9.06679964639481E-05,5.66674977899676E-05,103
1030,2,1,0,0,11,8,3,6.23342475689643E-05,3.40004986739806E-05,1030
1031,2,1,0,0,4,3,1,2.2666999115987E-05,1.13334995579935E-05,1031
1032,7,1,0,0,79,64,15,0.000447673232540744,0.000170002493369903,1032
1033,2,1,0,0,17,13,4,9.63347462429449E-05,4.53339982319741E-05,1033
1034,3,1,0,0,3,1,2,1.70002493369903E-05,2.2666999115987E-05,1034
1035,7,1,0,0,26,22,4,0.000147335494253916,4.53339982319741E-05,1035
1036,7,1,0,0,58,49,9,0.000328671487181812,0.000102001496021942,1036
1037,7,1,0,0,37,30,7,0.00020966974182288,7.93344969059546E-05,1037
1038,3,1,0,0,5,3,2,2.83337488949838E-05,2.2666999115987E-05,1038
1039,3,1,0,0,27,24,3,0.000153002244032912,3.40004986739806E-05,1039
104,0,1,0,0,32,23,9,0.000181335992927896,0.000102001496021942,104
1040,3,1,0,0,67,56,11,0.000379672235192783,0.000124668495137929,1040
1041,7,1,0,0,48,41,7,0.000272003989391844,7.93344969059546E-05,1041
1042,7,1,0,0,15,12,3,8.50012466849514E-05,3.40004986739806E-05,1042
1043,2,1,0,0,12,8,4,6.80009973479611E-05,4.53339982319741E-05,1043
1044,7,1,0,0,28,21,7,0.000158668993811909,7.93344969059546E-05,1044
1045,2,1,0,0,12,8,4,6.80009973479611E-05,4.53339982319741E-05,1045
1046,3,1,0,0,3,2,1,1.70002493369903E-05,1.13334995579935E-05,1046
1047,3,1,0,0,65,57,8,0.000368338735634789,9.06679964639481E-05,1047
